Unnamed: 0,DESKTOP-SEB3ML8/USER,DESKTOP-SEB3ML8,24.11.2024 17:54,file:///C:/Users/USER/AppData/Roaming/LibreOffice/4;,file,path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\yledl.py,R0915, too-many-statements,2.0,1.0, ,https://github.com/aajanki/yle-dl/pull/371,Yes,Two functions were a bit too long.,6,"600+ LOC, some magic strings",7.0,code is more structured
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\extractors.py,C0302, too-many-lines,1.0,1.0, ,https://github.com/aajanki/yle-dl/pull/373,Yes,"File has 1,230 lines when even very conservative recommendations are not to have more than 1,000. File has many classes, some related so moving them into dedicated files can reduce the length and improve structure. However, the choise of which classes to put in each file requires familarity with the project.",5,"1,000+ LOC, some magic strings",10.0,"In the split, connections between the classes became clearer. Code ismuch  easier to work with."
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\errors.py,W0107,unnecessary-pass,1.0,1.0, ,won’t fix,No,Empty Exceptions sub-classes,8,The definition of the exceptions is good,, 
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\downloader.py,R0133, comparison-of-constants,1.0,1.0,aajanki/yle-dl,https://github.com/aajanki/yle-dl/pull/371,Yes," The alert actually found a bug, which was verified with aajanki limits.start_position might be None so (limits.start_position or 0) gives it a default of 0 in this case. The added parenthesis force evaluation order to implement the desired order and avoids the unintentional comparison of constants. The external added parenthesis in ((limits.start_position or 0) > 0)  is for clarity",6,"500+ LOC, some magic strings",8.0,Solved the bug yet low impact on general quality
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\yledl.py,R0911, too-many-return-statements,1.0,0.0, , , , , , ,, 
,,,,,aajanki_yle-dl_interventions_October_06_2024.csv,yledl\yledl.py,R0912, too-many-branches,1.0,0.0, , , , , , ,, 
,,,,,akrherz_iembot_interventions_October_04_2024.csv,src\iembot\iemchatbot.py,R0912, too-many-branches,1.0,1.0,akrherz/iembot,https://github.com/akrherz/iembot/pull/99,Yes,"Method processMessagePC of class JabberClient had 19 branches while Pylint recommends having no more than 12.I extracted some methods, fixing also too-many-statements, and making the code more structured and readable. ",7,regular,9.0,extracted unrelated methods
,,,,,akrherz_iembot_interventions_October_04_2024.csv,src\iembot\basicbot.py,R0912, too-many-branches,1.0,1.0,akrherz/iembot,https://github.com/akrherz/iembot/pull/99,Yes,"Method process_groupchat_cmd of class basicbot had 17 branches while Pyline recommends having at most 12.The method handles different commands.I extracted three methods handling specific commands, fixing the alert.This change also reduces the method length and makes it more structured and readable. ",5,"700+ LOC, low cohesion of utils, tendency to returns",8.0,extracted unrelated methods but with too many parameters
,,,,,akrherz_iembot_interventions_October_04_2024.csv,src\iembot\util.py,W0104, pointless-statement,1.0,1.0,akrherz/iembot,https://github.com/akrherz/iembot/pull/99,Yes,"In the function toot_cb, line 506 there is the seems to be pointless statement mduser[""screen_name""]. Accessing a key might be a way to cause an expectation if the key does not exist but there is no exception handling here. mduser is created a few lines above and is not used later or returned.",4,"800+ LOC, low cohesion of utils, tendency to returns",6.0,pointless statement is removed. Could lead to confusion.
,,,,,akrherz_iembot_interventions_October_04_2024.csv,src\iembot\iemchatbot.py,R0915, too-many-statements,1.0,0.0, , , , , , ,, 
