path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?,LOC_before,LLOC_before,SLOC_before,Comments_before,Single comments_before,Multi_before,Blank_before,h1_before,h2_before,N1_before,N2_before,vocabulary_before,length_before,calculated_length_before,volume_before,difficulty_before,effort_before,time_before,bugs_before,McCabe_max_before,McCabe_sum_before,LOC_after,LLOC_after,SLOC_after,Comments_after,Single comments_after,Multi_after,Blank_after,h1_after,h2_after,N1_after,N2_after,vocabulary_after,length_after,calculated_length_after,volume_after,difficulty_after,effort_after,time_after,bugs_after,McCabe_max_after,McCabe_sum_after,SLOC_diff,difficulty_diff,LLOC_diff,N1_diff,h2_diff,volume_diff,bugs_diff,calculated_length_diff,Single comments_diff,vocabulary_diff,h1_diff,Multi_diff,time_diff,Blank_diff,effort_diff,length_diff,McCabe_max_diff,LOC_diff,Comments_diff,N2_diff,McCabe_sum_diff,file,repo_name,modified_McCabe_max_diff
src\python_rucaptcha\re_captcha.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints",5,Made a readable too long line shorter,172,17,23,1.0,1.0,126,22,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,173,17,24,1.0,1.0,126,22,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
src\python_rucaptcha\rotate_captcha.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5,Made a readable too long line shorter,196,30,60,0.0,0.0,114,22,3,6,4,6,9.0,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743,3.0,11.0,197,30,60,0.0,0.0,115,22,3,6,4,6,9.0,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
src\python_rucaptcha\key_captcha.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5,Made a readable too long line shorter,111,17,31,1.0,1.0,61,18,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,112,17,32,1.0,1.0,61,18,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
src\python_rucaptcha\amazon_waf.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5,Made a readable too long line shorter,114,17,29,2.0,2.0,67,16,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,115,17,30,2.0,2.0,67,16,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
src\python_rucaptcha\turnstile.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5,Made a readable too long line shorter,111,17,23,1.0,1.0,69,18,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,112,17,24,1.0,1.0,69,18,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
docs\conf.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",6,Structure is slightly more readable now,108,47,90,8.0,8.0,0,10,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,110,47,92,8.0,8.0,0,10,1,4,2,4,5.0,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.0046438561897747,,,2.0,0.5,0.0,2.0,4.0,13.931568569324174,0.0046438561897747,8.0,0.0,5.0,1.0,0.0,0.3869880158145604,0.0,6.965784284662087,6.0,,2.0,0.0,4.0,,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
docs\conf.py,C0301,line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",6,Structure is slightly more readable now,108,47,90,8.0,8.0,0,10,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,110,47,92,8.0,8.0,0,10,1,4,2,4,5.0,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.0046438561897747,,,2.0,0.5,0.0,2.0,4.0,13.931568569324174,0.0046438561897747,8.0,0.0,5.0,1.0,0.0,0.3869880158145604,0.0,6.965784284662087,6.0,,2.0,0.0,4.0,,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv,AndreiDrang/python-rucaptcha,
filter.py,R1703,simplifiable-if-statement,1,1,Hipo/university-domains-list,https://github.com/Hipo/university-domains-list/pull/667,Yes,"Instead of just returning a Boolean expression, it was wrapped by an if, returning True if True and False if False  ",5,"Not clean, bad variables names",6,"Lower complexity, easier to understand that the if is not indeed needed",80,46,43,3.0,3.0,11,23,6,21,13,24,27.0,37,107.74844088268092,175.93083758004835,3.4285714285714284,603.1914431315943,33.510635729533014,0.0586436125266827,7.0,13.0,76,43,40,3.0,3.0,11,22,6,21,13,24,27.0,37,107.74844088268092,175.93083758004835,3.4285714285714284,603.1914431315943,33.510635729533014,0.0586436125266827,7.0,13.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,Hipo_university-domains-list_interventions_September_29_2024.csv,Hipo/university-domains-list,
bin\litscan-retracted-articles.py,W0718,broad-exception-caught,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,"As discussed, narrowed Exception to ValueError",7,regular,6,narrowed exception,88,51,45,10.0,10.0,18,15,6,20,10,20,26.0,30,101.9483369020742,141.01319154423277,3.0,423.0395746326983,23.50219859070546,0.0470043971814109,13.0,13.0,88,51,45,10.0,10.0,18,15,6,20,10,20,26.0,30,101.9483369020742,141.01319154423277,3.0,423.0395746326983,23.50219859070546,0.0470043971814109,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\hgnc\helpers.py,W0718,broad-exception-caught,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes," Catching Exception might hide unexpected exceptions (e.g., due to new code that will be added).More than that, the exception handling does not log it but returns None, making it harder to detect.I changed it to catching  requests.exceptions.HTTPErrorSeehttps://stackoverflow.com/questions/24518944/try-except-when-using-python-requests-module",5,"multiple returns, magic strings",6,narrowed un-logged exception,180,94,135,1.0,1.0,12,32,5,61,38,76,66.0,114,373.3846180657729,689.0609296068637,3.114754098360656,2146.2553545131823,119.23640858406569,0.2296869765356212,13.0,30.0,180,94,135,1.0,1.0,12,32,5,61,38,76,66.0,114,373.3846180657729,689.0609296068637,3.114754098360656,2146.2553545131823,119.23640858406569,0.2296869765356212,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
