path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,Do you expect the change to improve the code?,Why do you consider the pull request to improve the code (or not improve it)?
sat\sgm\modules\diffusionmodules\guiders.py,C0301, line-too-long,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\lpips\vqperceptual.py,C0301, line-too-long,1,1, , , , , , , , 
finetune\train_cogvideox_lora.py,R0912, too-many-branches,1,1, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet_2R.py,W0401, wildcard-import,1,1, , , , , , , , 
sat\sgm\webds.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
sat\diffusion_video.py,R0915, too-many-statements,1,1, , , , , , , , 
sat\sgm\modules\encoders\modules.py,C0301, line-too-long,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\temporal_ae.py,C0301, line-too-long,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\losses\discriminator_loss.py,R0912, too-many-branches,1,1, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet_m.py,W0401, wildcard-import,1,1, , , , , , , , 
sat\sgm\modules\autoencoding\lpips\model\model.py,C0301, line-too-long,1,1, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\lookup_free_quantization.py,R0912, too-many-branches,1,1, , , , , , , , 
sat\sgm\modules\diffusionmodules\denoiser.py,C0301, line-too-long,2,1, , , , , , , , 
sat\sample_video.py,R0912, too-many-branches,1,1, , , , , , , , 
tools\export_sat_lora_weight.py,C0301, line-too-long,1,1, , , , , , , , 
tools\caption\video_caption.py,C0301, line-too-long,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\lpips\loss\lpips.py,C0301, line-too-long,2,1, , , , , , , , 
sat\data_video.py,R0912, too-many-branches,1,1, , , , , , , , 
sat\sgm\modules\cp_enc_dec.py,C0301, line-too-long,1,1, , , , , , , , 
sat\vae_modules\ema.py,C0301, line-too-long,2,1, , , , , , , , 
sat\vae_modules\regularizers.py,C0301, line-too-long,2,1, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet.py,W0401, wildcard-import,1,1, , , , , , , , 
sat\sgm\modules\video_attention.py,W0401, wildcard-import,1,1, , , , , , , , 
inference\gradio_composite_demo\rife\loss.py,C0325, superfluous-parens,1,1, , , , , , , , 
tools\llm_flux_cogvideox\gradio_page.py,C0301, line-too-long,1,1, , , , , , , , 
inference\gradio_composite_demo\rife\RIFE_HDv3.py,C0301, line-too-long,1,1, , , , , , , , 
sat\sgm\modules\diffusionmodules\openaimodel.py,R0915, too-many-statements,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\magvit2_pytorch.py,C0302, too-many-lines,1,1, , , , , , , , 
sat\sgm\modules\diffusionmodules\model.py,R0915, too-many-statements,1,1, , , , , , , , 
sat\sgm\modules\diffusionmodules\wrappers.py,C0301, line-too-long,1,1, , , , , , , , 
