LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
88,51,45,10,10,18,15,6,20,10,20,26,30,101.94833690207419,141.01319154423277,3.0,423.0395746326983,23.50219859070546,0.047004397181410924,13,13,bin\litscan-retracted-articles.py
110,59,64,5,5,25,16,4,16,8,16,20,24,72.0,103.72627427729671,2.0,207.45254855459342,11.525141586366301,0.0345754247590989,5,7,bin\litscan-create-xml-metadata.py
171,92,123,22,1,12,35,11,32,19,38,43,57,198.0537478050103,309.29709101801956,6.53125,2020.0966257114403,112.22759031730224,0.10309903033933986,11,38,rnacentral_pipeline\rnacentral\genome_mapping\blat.py
55,30,29,3,3,12,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,12,rnacentral_pipeline\utils.py
152,37,92,18,18,16,26,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,2,4,rnacentral_pipeline\databases\evlncrnas\lookup.py
202,103,143,1,1,12,46,8,41,24,44,49,68,243.65963218934144,381.8002693998342,4.2926829268292686,1638.9474979114834,91.05263877286019,0.1272667564666114,5,40,rnacentral_pipeline\databases\psi_mi\tab.py
348,160,247,15,14,25,62,5,18,10,19,23,29,86.66829050039843,131.18329672565338,2.638888888888889,346.17814413714086,19.232119118730047,0.04372776557521779,5,14,rnacentral_pipeline\databases\evlncrnas\parser.py
80,37,47,15,4,6,23,1,2,4,8,3,12,2.0,19.019550008653876,2.0,38.03910001730775,2.1132833342948754,0.006339850002884626,6,8,rnacentral_pipeline\databases\mgnify\prepare.py
162,64,94,20,7,28,33,4,24,12,24,28,36,118.03910001730776,173.06477719407374,2.0,346.1295543881475,19.229419688230415,0.057688259064691244,6,19,rnacentral_pipeline\databases\plncdb\parser.py
180,94,135,1,1,12,32,5,61,38,76,66,114,373.3846180657729,689.0609296068637,3.1147540983606556,2146.2553545131823,119.23640858406569,0.22968697653562126,13,30,rnacentral_pipeline\databases\hgnc\helpers.py
64,30,28,8,7,18,11,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,1,1,bin\litscan-get-statistics.py
181,99,112,3,3,43,23,2,7,6,11,9,17,21.651484454403228,53.88872502451932,1.5714285714285714,84.68228218138749,4.704571232299305,0.017962908341506437,3,14,rnacentral_pipeline\cli\ensembl.py
108,70,79,1,1,12,16,9,32,21,40,41,61,188.52932501298082,326.8106722817031,5.625,1838.31003158458,102.12833508803222,0.1089368907605677,9,19,rnacentral_pipeline\rnacentral\r2dt\parser.py
84,50,50,1,1,15,18,4,63,52,105,67,157,384.56863518049477,952.3760029018703,3.3333333333333335,3174.5866763395675,176.3659264633093,0.31745866763395675,23,28,rnacentral_pipeline\rnacentral\genome_mapping\igv.py
81,46,53,1,1,12,15,4,8,5,8,12,13,32.0,46.604512509375034,2.0,93.20902501875007,5.178279167708337,0.015534837503125011,9,19,rnacentral_pipeline\databases\europepmc\stream.py
64,50,53,0,0,0,11,4,9,5,10,13,15,36.52932501298081,55.506595772116384,2.2222222222222223,123.34799060470309,6.852666144705727,0.01850219859070546,6,18,rnacentral_pipeline\databases\tmrna\helpers.py
177,72,67,1,1,76,33,13,36,22,41,49,63,234.2230163877574,353.7267201792581,7.402777777777778,2618.56030354923,145.47557241940166,0.11790890672641936,7,28,rnacentral_pipeline\rnacentral\precompute\utils.py
88,48,56,3,4,15,13,8,17,9,18,25,27,93.48686830125578,125.38411712391756,4.235294117647059,531.0386137012979,29.50214520562766,0.04179470570797252,7,12,rnacentral_pipeline\rnacentral\search_export\compare.py
